x,y,rho,u,v,p
-3.5,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-3.28972902097902,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-3.09047202797203,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.90187937062937,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.7236013986014,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.55528846153846,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.39659090909091,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.24715909090909,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-2.10664335664336,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-1.97469405594406,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-1.85096153846154,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-1.73509615384615,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-1.62674825174825,0.0,0.011614401858304297,486.06419329138,0.0,999.9999999999998
-1.52556818181818,0.0,0.011614401858304297,486.06419329138,-3.693560298431068e-307,999.9999999999998
-1.43120629370629,0.0,0.011614401858304297,486.06419329138,6.031565537638515e-291,999.9999999999998
-1.34331293706294,0.0,0.011614401858304297,486.06419329138,-6.2957599059826e-275,999.9999999999998
-1.26153846153846,0.0,0.011614401858304297,486.06419329138,9.608655476775879e-259,999.9999999999998
-1.18553321678322,0.0,0.011614401858304297,486.06419329138,-1.8203595034447073e-242,999.9999999999998
-1.11494755244755,0.0,0.011614401858304297,486.06419329138,1.860136533296087e-226,999.9999999999998
-1.04943181818182,0.0,0.011614401858304297,486.06419329138,-3.6487596128049214e-210,999.9999999999998
-0.988636363636364,0.0,0.011614401858304297,486.06419329138,1.1240620249443326e-193,999.9999999999998
-0.932211538461538,0.0,0.011614401858304297,486.06419329138,-1.2457097746893566e-177,999.9999999999998
-0.879807692307692,0.0,0.011614401858304297,486.06419329138,1.5146634176959276e-161,999.9999999999998
-0.831075174825175,0.0,0.011614401858304297,486.06419329138,-2.9264302550614318e-145,999.9999999999998
-0.785664335664336,0.0,0.011614401858304297,486.06419329138,2.86762766616053e-129,999.9999999999998
-0.743225524475524,0.0,0.011614401858304297,486.06419329138,-4.389219637999226e-113,999.9999999999998
-0.703409090909091,0.0,0.011614401858304297,486.06419329138,7.832492186714356e-97,999.9999999999998
